radius  u   sigma_rr   sigma_tt   sigma_zz  eps_rr   eps_tt   eps_zz  eps_p_rr   eps_p_tt   eps_p_zz
4  2.54403e-05   -0.00525063   0.00725062   0.001   0   0   0   0   0   0
3.9961  2.54443e-05   0.00123066   0.0135729   0.0029607   -1.03803e-06   6.36729e-06   0   -2.11758e-22   -8.47033e-22   -2.11758e-22
3.9922  2.54484e-05   0.00121861   0.0135849   0.00296071   -1.04526e-06   6.37453e-06   0   -2.11758e-22   8.47033e-22   -2.11758e-22
3.9883  2.54525e-05   0.00120653   0.013597   0.00296071   -1.05251e-06   6.38179e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.9844  2.54566e-05   0.00119442   0.0136092   0.00296072   -1.05978e-06   6.38907e-06   0   -4.23516e-22   8.47033e-22   -2.11758e-22
3.9805  2.54608e-05   0.00118227   0.0136213   0.00296072   -1.06707e-06   6.39637e-06   0   -6.35275e-22   0   -6.35275e-22
3.9766  2.54649e-05   0.00117008   0.0136335   0.00296073   -1.07439e-06   6.40369e-06   0   -4.23516e-22   0   -4.23516e-22
3.9727  2.54691e-05   0.00115785   0.0136458   0.00296073   -1.08173e-06   6.41104e-06   0   -6.35275e-22   0   -6.35275e-22
3.9688  2.54734e-05   0.0011456   0.0136581   0.00296073   -1.08908e-06   6.41841e-06   0   -6.35275e-22   -1.69407e-21   -6.35275e-22
3.9649  2.54776e-05   0.0011333   0.0136704   0.00296074   -1.09646e-06   6.42579e-06   0   -2.11758e-22   0   -2.11758e-22
3.961  2.54819e-05   0.00112097   0.0136827   0.00296074   -1.10387e-06   6.4332e-06   0   -6.35275e-22   -8.47033e-22   -4.23516e-22
3.9571  2.54862e-05   0.0011086   0.0136951   0.00296075   -1.11129e-06   6.44064e-06   0   -2.11758e-22   -8.47033e-22   -2.11758e-22
3.9532  2.54906e-05   0.00109619   0.0137076   0.00296075   -1.11873e-06   6.44809e-06   0   -6.35275e-22   0   -4.23516e-22
3.9493  2.5495e-05   0.00108375   0.01372   0.00296076   -1.1262e-06   6.45557e-06   0   -4.23516e-22   0   -4.23516e-22
3.9454  2.54994e-05   0.00107127   0.0137325   0.00296076   -1.13369e-06   6.46306e-06   0   -2.11758e-22   0   -2.11758e-22
3.9415  2.55038e-05   0.00105876   0.0137451   0.00296077   -1.1412e-06   6.47058e-06   0   -4.23516e-22   0   -2.11758e-22
3.9376  2.55083e-05   0.00104621   0.0137576   0.00296077   -1.14874e-06   6.47813e-06   0   -6.35275e-22   8.47033e-22   -6.35275e-22
3.9337  2.55128e-05   0.00103362   0.0137703   0.00296078   -1.1563e-06   6.48569e-06   0   -4.23516e-22   -1.69407e-21   -4.23516e-22
3.9298  2.55173e-05   0.00102099   0.0137829   0.00296078   -1.16388e-06   6.49328e-06   0   -6.35275e-22   8.47033e-22   -6.35275e-22
3.9259  2.55218e-05   0.00100832   0.0137956   0.00296079   -1.17148e-06   6.50089e-06   0   -4.23516e-22   0   -4.23516e-22
3.922  2.55264e-05   0.000995621   0.0138083   0.00296079   -1.1791e-06   6.50852e-06   0   -4.23516e-22   0   -4.23516e-22
3.9181  2.5531e-05   0.00098288   0.0138211   0.00296079   -1.18675e-06   6.51618e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.9142  2.55357e-05   0.000970101   0.0138339   0.0029608   -1.19442e-06   6.52386e-06   0   -2.11758e-22   -8.47033e-22   -2.11758e-22
3.9103  2.55404e-05   0.000957284   0.0138467   0.0029608   -1.20211e-06   6.53156e-06   0   -6.35275e-22   0   -6.35275e-22
3.9064  2.55451e-05   0.000944428   0.0138596   0.00296081   -1.20983e-06   6.53929e-06   0   -4.23516e-22   8.47033e-22   -2.11758e-22
3.9025  2.55498e-05   0.000931534   0.0138725   0.00296081   -1.21757e-06   6.54703e-06   0   -6.35275e-22   0   -4.23516e-22
3.8986  2.55546e-05   0.000918601   0.0138855   0.00296082   -1.22533e-06   6.5548e-06   0   -6.35275e-22   0   -6.35275e-22
3.8947  2.55594e-05   0.00090563   0.0138985   0.00296082   -1.23312e-06   6.5626e-06   0   -8.47033e-22   0   -6.35275e-22
3.8908  2.55642e-05   0.000892619   0.0139115   0.00296083   -1.24093e-06   6.57042e-06   0   -4.23516e-22   8.47033e-22   -2.11758e-22
3.8869  2.5569e-05   0.00087957   0.0139246   0.00296083   -1.24876e-06   6.57826e-06   0   -4.23516e-22   0   -2.11758e-22
3.883  2.55739e-05   0.000866481   0.0139377   0.00296084   -1.25661e-06   6.58612e-06   0   -2.11758e-22   -8.47033e-22   -4.23516e-22
3.8791  2.55788e-05   0.000853352   0.0139509   0.00296084   -1.26449e-06   6.59401e-06   0   -4.23516e-22   0   -4.23516e-22
3.8752  2.55838e-05   0.000840184   0.0139641   0.00296085   -1.2724e-06   6.60193e-06   0   -6.35275e-22   8.47033e-22   -4.23516e-22
3.8713  2.55888e-05   0.000826976   0.0139773   0.00296085   -1.28033e-06   6.60986e-06   0   -6.35275e-22   0   -6.35275e-22
3.8674  2.55938e-05   0.000813728   0.0139906   0.00296086   -1.28828e-06   6.61782e-06   0   -6.35275e-22   -8.47033e-22   -4.23516e-22
