"FailureType","Displacement:0","Displacement:1","Displacement:2","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","StrainPlastic:0","StrainPlastic:1","StrainPlastic:2","StrainPlastic:3","StrainPlastic:4","StrainPlastic:5","StrainPlastic:6","StrainPlastic:7","StrainPlastic:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0,0,-9.992710114,-0.0003497280122,0,-0.0003497280122,2.102750063,0,0,0,-1.577990055,-0.007760710083,-9.350189885e-07,0,-9.350189885e-07,0.007739619818,0,0,0,0,-0.002711890033,-5.153449933e-07,0,-5.153449933e-07,0.005531180184,0,0,0,-1.306800049e-16,1,0,0.1000000015,0,0
1,0,0,0,-9.537775993,1.296702521e-05,0,1.296702521e-05,2.325793028,0,0,0,-1.44239676,-0.007263362408,-8.022429832e-09,0,-8.022429832e-09,0.007168490905,0,0,0,0,-0.002406141954,-2.35829134e-08,0,-2.35829134e-08,0.004907576833,0,0,0,-5.40739269e-16,1,0.003899998963,0.1039000005,0,0
1,0,0,0,-9.106818199,1.756182246e-05,0,1.756182246e-05,2.537090063,0,0,0,-1.313945651,-0.0068054609,4.998927494e-09,0,4.998927494e-09,0.006654446945,0,0,0,0,-0.002129740315,-1.607519451e-08,0,-1.607519451e-08,0.004343830049,0,0,0,-8.481399664e-16,1,0.007799997926,0.1077999994,0,0
1,0,0,0,-8.697599411,1.538801735e-05,0,1.538801735e-05,2.737722635,0,0,0,-1.191971421,-0.006383039523,1.638203018e-09,0,1.638203018e-09,0.006191597786,0,0,0,0,-0.001879663207,-1.682741413e-08,0,-1.682741413e-08,0.003833784256,0,0,0,-1.070999788e-15,1,0.01169999689,0.1116999984,0,0
1,0,0,0,-8.308561325,1.536807213e-05,0,1.536807213e-05,2.928465843,0,0,0,-1.076016665,-0.00599258719,3.016374706e-09,0,3.016374706e-09,0.005774287041,0,0,0,0,-0.001653065789,-1.542532146e-08,0,-1.542532146e-08,0.003371598199,0,0,0,-1.22196647e-15,1,0.01559999585,0.1155999973,0,0
1,0,0,0,-7.937799931,1.763412729e-05,0,1.763412729e-05,3.110246897,0,0,0,-0.9655092359,-0.005630345549,8.736112278e-09,0,8.736112278e-09,0.005396707449,0,0,0,0,-0.001446975279,-1.242487002e-08,0,-1.242487002e-08,0.002951258793,0,0,0,-1.304602263e-15,1,0.01949999481,0.1194999963,0,0
1,0,0,0,-7.583558559,2.207682337e-05,0,2.207682337e-05,3.283927679,0,0,0,-0.8599274158,-0.005292918999,1.787940107e-08,0,1.787940107e-08,0.005053634755,0,0,0,0,-0.001258738455,-8.612744296e-09,0,-8.612744296e-09,0.002567322459,0,0,0,-1.334263557e-15,1,0.02340000123,0.1234000027,0,0
1,0,0,0,-7.244055271,2.85226688e-05,0,2.85226688e-05,3.450386047,0,0,0,-0.7587328553,-0.004977021832,2.946292454e-08,0,2.946292454e-08,0.004740144592,0,0,0,0,-0.001085833181,-4.764286743e-09,0,-4.764286743e-09,0.002214672277,0,0,0,-1.322883563e-15,1,0.02729999274,0.1272999942,0,0
1,0,0,0,-6.928829193,1.912747757e-05,0,1.912747757e-05,3.604936361,0,0,0,-0.6647787094,-0.004687602166,1.311547582e-08,0,1.311547582e-08,0.004456976894,0,0,0,0,-0.0009291727329,-9.83748194e-09,0,-9.83748194e-09,0.001895146677,0,0,0,-1.287678545e-15,1,0.03119999915,0.1312000006,0,0
1,0,0,0,-6.626237392,1.024479752e-05,0,1.024479752e-05,3.753292561,0,0,0,-0.5745890141,-0.004414998926,-1.300475394e-09,0,-1.300475394e-09,0.004195801448,0,0,0,0,-0.0007840080652,-1.35942031e-08,0,-1.35942031e-08,0.00159906561,0,0,0,-1.223296947e-15,1,0.03510000557,0.1351000071,0,0
