"Displacement:0","Displacement:1","Displacement:2","FailureType","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","StrainPlastic:0","StrainPlastic:1","StrainPlastic:2","StrainPlastic:3","StrainPlastic:4","StrainPlastic:5","StrainPlastic:6","StrainPlastic:7","StrainPlastic:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,1,-0.0074472,-0.00019197,0,-0.00019197,0.0077037,0,0,0,0,-0.0026593,-0.00010242,0,-0.00010242,0.0054243,0,0,0,-1.6369e-18,-5.4959e-05,-8.7534e-07,0,-8.7534e-07,1.4126e-05,0,0,0,-8.1665e-06,1,0,0.1,0,0
0,0,0,1,-0.0074472,-0.00018481,0,-0.00018481,0.007139,0,0,0,0,-0.0024152,-9.3021e-05,0,-9.3021e-05,0.0049264,0,0,0,-1.2164e-18,-6.0661e-05,-9.3246e-07,0,-9.3246e-07,1.2933e-05,0,0,0,-9.5456e-06,1,0.0039,0.1039,0,0
0,0,0,1,-0.0068423,-0.00017073,0,-0.00017073,0.0066327,0,0,0,0,-0.0021247,-8.1834e-05,0,-8.1834e-05,0.004334,0,0,0,-2.3915e-18,-6.8431e-05,-1.1011e-06,0,-1.1011e-06,1.8473e-05,0,0,0,-9.9916e-06,1,0.0078,0.1078,0,0
0,0,0,1,-0.0062089,-0.00015684,0,-0.00015684,0.0061697,0,0,0,0,-0.0018496,-7.124e-05,0,-7.124e-05,0.0037729,0,0,0,1.1032e-19,-7.5602e-05,-1.2908e-06,0,-1.2908e-06,2.6273e-05,0,0,0,-9.8656e-06,1,0.0117,0.1117,0,0
0,0,0,1,-0.0062089,-0.00015152,0,-0.00015152,0.0057493,0,0,0,0,-0.001668,-6.4242e-05,0,-6.4242e-05,0.0034023,0,0,0,-1.3087e-18,-8.2254e-05,-1.3618e-06,0,-1.3618e-06,2.5223e-05,0,0,0,-1.1406e-05,1,0.0156,0.1156,0,0
0,0,0,1,-0.0055539,-0.00013854,0,-0.00013854,0.0053806,0,0,0,0,-0.001431,-5.5117e-05,0,-5.5117e-05,0.002919,0,0,0,-9.9854e-20,-8.8678e-05,-1.5816e-06,0,-1.5816e-06,3.6144e-05,0,0,0,-1.0507e-05,1,0.0195,0.1195,0,0
0,0,0,1,-0.0055539,-0.00013408,0,-0.00013408,0.0050281,0,0,0,0,-0.0012787,-4.9249e-05,0,-4.9249e-05,0.0026082,0,0,0,-2.1417e-18,-9.5736e-05,-1.6601e-06,0,-1.6601e-06,3.5282e-05,0,0,0,-1.2091e-05,1,0.0234,0.1234,0,0
0,0,0,1,-0.0048853,-0.00012181,0,-0.00012181,0.0047282,0,0,0,0,-0.0010699,-4.1208e-05,0,-4.1208e-05,0.0021824,0,0,0,6.4556e-19,-0.00010061,-1.9125e-06,0,-1.9125e-06,5.0336e-05,0,0,0,-1.0054e-05,1,0.0273,0.1273,0,0
0,0,0,1,-0.0048853,-0.00011814,0,-0.00011814,0.0044386,0,0,0,0,-0.00094477,-3.6388e-05,0,-3.6388e-05,0.0019271,0,0,0,1.0241e-20,-0.00010799,-1.9989e-06,0,-1.9989e-06,4.977e-05,0,0,0,-1.1644e-05,1,0.0312,0.1312,0,0
0,0,0,1,-0.0042119,0.00010635,0,0.00010635,0.0041818,0,0,0,0,-0.00075404,2.9042e-05,0,2.9042e-05,0.0015381,0,0,0,-1.547e-18,-0.00011033,2.2872e-06,0,2.2872e-06,7.0185e-05,0,0,0,-8.0297e-06,1,0.0351,0.1351,0,0
0,0,0,1,-0.0042119,-0.00010341,0,-0.00010341,0.0039495,0,0,0,0,-0.00065364,-2.5175e-05,0,-2.5175e-05,0.0013333,0,0,0,-2.2965e-19,-0.00011793,-2.3818e-06,0,-2.3818e-06,7.0046e-05,0,0,0,-9.577e-06,1,0.039,0.139,0,0
0,0,0,1,-0.0042119,-0.00010047,0,-0.00010047,0.0037172,0,0,0,0,-0.00055323,-2.1308e-05,0,-2.1308e-05,0.0011285,0,0,0,7.2948e-19,-0.00012553,-2.4763e-06,0,-2.4763e-06,6.9908e-05,0,0,0,-1.1125e-05,1,0.0429,0.1429,0,0
0,0,0,1,-0.0035425,-8.9624e-05,0,-8.9624e-05,0.003531,0,0,0,0,-0.00039351,-1.5156e-05,0,-1.5156e-05,0.00080267,0,0,0,3.0675e-19,-0.00012429,-2.8132e-06,0,-2.8132e-06,9.7739e-05,0,0,0,-5.3099e-06,1,0.0468,0.1468,0,0
0,0,0,1,-0.0035425,-8.7321e-05,0,-8.7321e-05,0.0033493,0,0,0,0,-0.00031496,-1.2131e-05,0,-1.2131e-05,0.00064244,0,0,0,-2.1119e-19,-0.00013196,-2.9161e-06,0,-2.9161e-06,9.8193e-05,0,0,0,-6.7533e-06,1,0.0507,0.1507,0,0
0,0,0,1,-0.0035425,-8.5019e-05,0,-8.5019e-05,0.0031675,0,0,0,0,-0.00023641,-9.1055e-06,0,-9.1055e-06,0.00048223,0,0,0,-7.2906e-19,-0.00013963,-3.0191e-06,0,-3.0191e-06,9.8647e-05,0,0,0,-8.1966e-06,1,0.0546,0.1546,0,0
0,0,0,0.99002,-0.0028943,7.4935e-05,0,7.4935e-05,0.0030199,0,0,0,0,-9.6178e-05,3.7043e-06,0,3.7043e-06,0.00019618,0,0,0,-1.327e-18,-0.00013368,3.4134e-06,0,3.4134e-06,0.00013572,0,0,0,4.0855e-07,1,0.0585,0.1585,0,0
0,0,0,0.5185,-0.0028943,-7.3181e-05,0,-7.3181e-05,0.0028815,0,0,0,0,-5.0371e-05,-1.94e-06,0,-1.94e-06,0.00010275,0,0,0,-3.3934e-19,-0.0001408,-3.4979e-06,0,-3.4979e-06,0.00013527,0,0,0,-1.1062e-06,1,0.0624,0.1624,0,0
0,0,0,0.046978,-0.0028943,-7.1427e-05,0,-7.1427e-05,0.0027431,0,0,0,0,-4.5638e-06,-1.7578e-07,0,-1.7578e-07,9.3092e-06,0,0,0,-3.4005e-20,-0.00014792,-3.5824e-06,0,-3.5824e-06,0.00013482,0,0,0,-2.6209e-06,1,0.0663,0.1663,0,0
0,0,0,0,-0.0023924,6.3363e-05,0,6.3363e-05,0.0026085,0,0,0,0,1.7469e-18,-1.1062e-20,0,-1.1062e-20,-1.9056e-18,0,0,0,-5.3483e-19,-0.00014018,3.8359e-06,0,3.8359e-06,0.00016257,0,0,0,4.4787e-06,1,0.0702,0.1702,0,0
0,0,0,0,-0.0023924,-6.2035e-05,0,-6.2035e-05,0.0025036,0,0,0,0,-7.1474e-20,7.0588e-21,0,7.0588e-21,5.8651e-19,0,0,0,-3.9529e-20,-0.0001457,-3.8359e-06,0,-3.8359e-06,0.00015704,0,0,0,2.269e-06,1,0.0741,0.1741,0,0
0,0,0,0,-0.0023924,-6.0707e-05,0,-6.0707e-05,0.0023988,0,0,0,0,3.4027e-19,1.3338e-20,0,1.3338e-20,-1.9035e-19,0,0,0,-1.6484e-19,-0.00015122,-3.8359e-06,0,-3.8359e-06,0.00015152,0,0,0,5.9366e-08,1,0.078,0.178,0,0
0,0,0,0,-0.0023924,-5.9379e-05,0,-5.9379e-05,0.002294,0,0,0,0,7.5206e-19,1.7398e-20,0,1.7398e-20,-9.6729e-19,0,0,0,-2.9017e-19,-0.00015675,-3.8359e-06,0,-3.8359e-06,0.000146,0,0,0,-2.1506e-06,1,0.0819,0.1819,0,0
0,0,0,0,-0.0023924,-5.8051e-05,0,-5.8051e-05,0.0021892,0,0,0,0,1.1639e-18,2.138e-20,0,2.138e-20,-1.7442e-18,0,0,0,-4.155e-19,-0.00016227,-3.8359e-06,0,-3.8359e-06,0.00014047,0,0,0,-4.3605e-06,1,0.0858,0.1858,0,0
0,0,0,0,-0.0019676,5.1609e-05,0,5.1609e-05,0.0021057,0,0,0,0,-3.1748e-19,-2.7704e-20,0,-2.7704e-20,-4.8145e-20,0,0,0,1.2851e-19,-0.00015212,4.088e-06,0,4.088e-06,0.00017052,0,0,0,3.6809e-06,1,0.0897,0.1897,0,0
0,0,0,0,-0.0019676,-5.0619e-05,0,-5.0619e-05,0.0020275,0,0,0,0,-3.9907e-20,-1.0247e-20,0,-1.0247e-20,1.1883e-19,0,0,0,-4.9088e-20,-0.00015746,-4.088e-06,0,-4.088e-06,0.00016518,0,0,0,1.5456e-06,1,0.0936,0.1936,0,0
0,0,0,0,-0.0019676,-4.9628e-05,0,-4.9628e-05,0.0019493,0,0,0,0,-9.4119e-20,4.8944e-21,0,4.8944e-21,6.462e-20,0,0,0,7.1283e-20,-0.00016279,-4.088e-06,0,-4.088e-06,0.00015985,0,0,0,-5.8969e-07,1,0.0975,0.1975,0,0
0,0,0,0,-0.0019676,-4.8637e-05,0,-4.8637e-05,0.0018711,0,0,0,0,-1.4833e-19,2.2885e-20,0,2.2885e-20,1.0404e-20,0,0,0,1.9166e-19,-0.00016813,-4.088e-06,0,-4.088e-06,0.00015451,0,0,0,-2.7252e-06,1,0.1014,0.2014,0,0
0,0,0,0,-0.0019676,-4.7647e-05,0,-4.7647e-05,0.0017929,0,0,0,0,-2.0255e-19,4.0876e-20,0,4.0876e-20,-4.3812e-20,0,0,0,3.1204e-19,-0.00017347,-4.088e-06,0,-4.088e-06,0.00014917,0,0,0,-4.8606e-06,1,0.1053,0.2053,0,0
0,0,0,0,-0.0015985,4.2175e-05,0,4.2175e-05,0.0017301,0,0,0,0,9.1137e-19,-4.4047e-20,0,-4.4047e-20,-6.1516e-19,0,0,0,-8.6087e-20,-0.00015944,4.3302e-06,0,4.3302e-06,0.00018231,0,0,0,4.5743e-06,1,0.1092,0.2092,0,0
0,0,0,0,-0.0015985,-4.1449e-05,0,-4.1449e-05,0.0016728,0,0,0,0,8.8384e-19,9.4159e-21,0,9.4159e-21,-1.5671e-19,0,0,0,-4.973e-19,-0.00016454,-4.3302e-06,0,-4.3302e-06,0.00017722,0,0,0,2.536e-06,1,0.1131,0.2131,0,0
0,0,0,0,-0.0015985,-4.0724e-05,0,-4.0724e-05,0.0016155,0,0,0,0,5.8562e-19,1.8428e-21,0,1.8428e-21,-3.0671e-20,0,0,0,-3.9642e-19,-0.00016964,-4.3302e-06,0,-4.3302e-06,0.00017212,0,0,0,4.9765e-07,1,0.117,0.217,0,0
0,0,0,0,-0.0015985,-3.9998e-05,0,-3.9998e-05,0.0015583,0,0,0,0,2.8738e-19,-5.8996e-21,0,-5.8996e-21,9.5381e-20,0,0,0,-2.9554e-19,-0.00017473,-4.3302e-06,0,-4.3302e-06,0.00016703,0,0,0,-1.5408e-06,1,0.1209,0.2209,0,0
0,0,0,0,-0.0015985,-3.9273e-05,0,-3.9273e-05,0.001501,0,0,0,0,-1.0874e-20,-1.3696e-20,0,-1.3696e-20,2.2144e-19,0,0,0,-1.9465e-19,-0.00017983,-4.3302e-06,0,-4.3302e-06,0.00016193,0,0,0,-3.5793e-06,1,0.1248,0.2248,0,0
0,0,0,0,-0.0015985,-3.8547e-05,0,-3.8547e-05,0.0014437,0,0,0,0,-3.0912e-19,-2.1493e-20,0,-2.1493e-20,3.4749e-19,0,0,0,-9.3761e-20,-0.00018492,-4.3302e-06,0,-4.3302e-06,0.00015683,0,0,0,-5.6178e-06,1,0.1287,0.2287,0,0
0,0,0,0,-0.0012837,3.3991e-05,0,3.3991e-05,0.001399,0,0,0,0,1.5126e-19,0,0,0,4.5495e-19,0,0,0,-2.5927e-19,-0.00016682,4.5602e-06,0,4.5602e-06,0.00019309,0,0,0,5.2551e-06,1,0.1326,0.2326,0,0
0,0,0,0,-0.0012837,-3.3469e-05,0,-3.3469e-05,0.0013578,0,0,0,0,1.9504e-19,-0,0,-0,7.3529e-20,0,0,0,-4.3892e-19,-0.00017163,-4.5602e-06,0,-4.5602e-06,0.00018829,0,0,0,3.3317e-06,1,0.1365,0.2365,0,0
0,0,0,0,-0.0012837,-3.2946e-05,0,-3.2946e-05,0.0013166,0,0,0,0,1.2177e-19,-0,0,-0,5.3896e-20,0,0,0,-2.6633e-19,-0.00017644,-4.5602e-06,0,-4.5602e-06,0.00018348,0,0,0,1.4082e-06,1,0.1404,0.2404,0,0
0,0,0,0,-0.0012837,-3.2424e-05,0,-3.2424e-05,0.0012753,0,0,0,0,4.85e-20,0,0,0,3.4262e-20,0,0,0,-9.3728e-20,-0.00018124,-4.5602e-06,0,-4.5602e-06,0.00017867,0,0,0,-5.152e-07,1,0.1443,0.2443,0,0
0,0,0,0,-0.0012837,-3.1902e-05,0,-3.1902e-05,0.0012341,0,0,0,0,-2.4777e-20,0,0,0,1.4628e-20,0,0,0,7.8881e-20,-0.00018605,-4.5602e-06,0,-4.5602e-06,0.00017386,0,0,0,-2.4388e-06,1,0.1482,0.2482,0,0
0,0,0,0,-0.0012837,-3.138e-05,0,-3.138e-05,0.0011929,0,0,0,0,-9.8053e-20,0,0,0,-5.0064e-21,0,0,0,2.5149e-19,-0.00019086,-4.5602e-06,0,-4.5602e-06,0.00016905,0,0,0,-4.3623e-06,1,0.1521,0.2521,0,0
0,0,0,0,-0.0012837,-3.0857e-05,0,-3.0857e-05,0.0011517,0,0,0,0,-1.7133e-19,0,0,0,-2.4641e-20,0,0,0,4.241e-19,-0.00019567,-4.5602e-06,0,-4.5602e-06,0.00016424,0,0,0,-6.2859e-06,1,0.156,0.256,0,0
0,0,0,0,-0.0010196,2.7108e-05,0,2.7108e-05,0.0011199,0,0,0,0,-2.7879e-20,1.0064e-20,0,1.0064e-20,-2.4688e-19,0,0,0,-9.9418e-20,-0.00017341,4.7762e-06,0,4.7762e-06,0.00020355,0,0,0,6.0279e-06,1,0.1599,0.2599,0,0
0,0,0,0,-0.0010196,2.6739e-05,0,2.6739e-05,0.0010907,0,0,0,0,1.0612e-21,7.0494e-21,0,7.0494e-21,-2.157e-19,0,0,0,-8.7223e-20,-0.0001779,4.7762e-06,0,4.7762e-06,0.00019906,0,0,0,4.2329e-06,1,0.1638,0.2638,0,0
0,0,0,0,-0.0010196,-2.6369e-05,0,-2.6369e-05,0.0010616,0,0,0,0,2.3416e-19,6.6141e-21,0,6.6141e-21,2.3661e-20,0,0,0,-1.2996e-19,-0.00018238,-4.7762e-06,0,-4.7762e-06,0.00019457,0,0,0,2.4379e-06,1,0.1677,0.2677,0,0
0,0,0,0,-0.0010196,-2.5999e-05,0,-2.5999e-05,0.0010324,0,0,0,0,2.5087e-19,1.6725e-21,0,1.6725e-21,4.6485e-20,0,0,0,-1.9386e-19,-0.00018687,-4.7762e-06,0,-4.7762e-06,0.00019009,0,0,0,6.4297e-07,1,0.1716,0.2716,0,0
0,0,0,0,-0.0010196,-2.563e-05,0,-2.563e-05,0.0010032,0,0,0,0,2.6758e-19,-5.6625e-21,0,-5.6625e-21,6.931e-20,0,0,0,-2.5777e-19,-0.00019136,-4.7762e-06,0,-4.7762e-06,0.0001856,0,0,0,-1.1521e-06,1,0.1755,0.2755,0,0
