radius  u   sigma_rr   sigma_tt   sigma_zz  eps_rr   eps_tt   eps_zz  eps_p_rr   eps_p_tt   eps_p_zz
4  2.14094e-05   -0.0062899   -0.0062899   -0.0062899   0   0   0   0   0   0
3.99961  2.1411e-05   -0.00629145   0.0095798   0.000657671   -4.16947e-06   5.35328e-06   0   0   0   -2.11758e-22
3.99922  2.14127e-05   -0.00629299   0.00958135   0.000657671   -4.1704e-06   5.35421e-06   0   0   -8.47033e-22   0
3.99883  2.14143e-05   -0.00629454   0.0095829   0.000657671   -4.17133e-06   5.35514e-06   0   0   8.47033e-22   -2.11758e-22
3.99844  2.14159e-05   -0.00629609   0.00958445   0.000657671   -4.17226e-06   5.35607e-06   0   0   -8.47033e-22   5.29396e-23
3.99805  2.14175e-05   -0.00629764   0.009586   0.000657671   -4.17319e-06   5.35699e-06   0   0   8.47033e-22   -5.29396e-23
3.99766  2.14192e-05   -0.00629919   0.00958755   0.000657671   -4.17412e-06   5.35792e-06   0   -8.47033e-22   8.47033e-22   -1.05879e-22
3.99727  2.14208e-05   -0.00630074   0.0095891   0.000657671   -4.17505e-06   5.35885e-06   0   0   0   -1.05879e-22
3.99688  2.14224e-05   -0.00630229   0.00959065   0.000657671   -4.17598e-06   5.35978e-06   0   0   -8.47033e-22   0
3.99649  2.1424e-05   -0.00630384   0.0095922   0.000657671   -4.17691e-06   5.36072e-06   0   0   0   -1.05879e-22
3.9961  2.14257e-05   -0.00630539   0.00959375   0.000657671   -4.17784e-06   5.36165e-06   0   0   0   -1.05879e-22
3.99571  2.14273e-05   -0.00630694   0.0095953   0.000657671   -4.17877e-06   5.36258e-06   0   0   0   -1.05879e-22
3.99532  2.14289e-05   -0.0063085   0.00959685   0.000657672   -4.1797e-06   5.36351e-06   0   0   8.47033e-22   -2.11758e-22
3.99493  2.14306e-05   -0.00631005   0.00959841   0.000657672   -4.18063e-06   5.36444e-06   0   0   8.47033e-22   -5.29396e-23
3.99454  2.14322e-05   -0.0063116   0.00959996   0.000657672   -4.18156e-06   5.36537e-06   0   -8.47033e-22   0   0
3.99415  2.14338e-05   -0.00631315   0.00960151   0.000657672   -4.1825e-06   5.3663e-06   0   0   8.47033e-22   -5.29396e-23
3.99376  2.14355e-05   -0.00631471   0.00960307   0.000657672   -4.18343e-06   5.36724e-06   0   0   0   -5.29396e-23
3.99337  2.14371e-05   -0.00631626   0.00960462   0.000657672   -4.18436e-06   5.36817e-06   0   0   8.47033e-22   -2.11758e-22
3.99298  2.14387e-05   -0.00631782   0.00960618   0.000657672   -4.18529e-06   5.3691e-06   0   0   0   -5.29396e-23
3.99259  2.14404e-05   -0.00631937   0.00960773   0.000657672   -4.18623e-06   5.37004e-06   0   0   -8.47033e-22   -5.29396e-23
3.9922  2.1442e-05   -0.00632093   0.00960929   0.000657672   -4.18716e-06   5.37097e-06   0   -8.47033e-22   8.47033e-22   -5.29396e-23
3.99181  2.14436e-05   -0.00632249   0.00961085   0.000657672   -4.18809e-06   5.3719e-06   0   -8.47033e-22   0   5.29396e-23
3.99142  2.14453e-05   -0.00632404   0.0096124   0.000657672   -4.18903e-06   5.37284e-06   0   0   8.47033e-22   0
3.99103  2.14469e-05   -0.0063256   0.00961396   0.000657672   -4.18996e-06   5.37377e-06   0   0   0   -1.58819e-22
3.99064  2.14485e-05   -0.00632716   0.00961552   0.000657672   -4.1909e-06   5.37471e-06   0   0   8.47033e-22   -2.11758e-22
3.99025  2.14502e-05   -0.00632871   0.00961708   0.000657672   -4.19183e-06   5.37564e-06   0   -8.47033e-22   8.47033e-22   -1.05879e-22
3.98986  2.14518e-05   -0.00633027   0.00961863   0.000657672   -4.19277e-06   5.37658e-06   0   0   8.47033e-22   0
3.98947  2.14534e-05   -0.00633183   0.00962019   0.000657672   -4.1937e-06   5.37751e-06   0   0   0   -1.58819e-22
3.98908  2.14551e-05   -0.00633339   0.00962175   0.000657672   -4.19464e-06   5.37845e-06   0   0   0   -1.58819e-22
3.98869  2.14567e-05   -0.00633495   0.00962331   0.000657672   -4.19557e-06   5.37938e-06   0   0   8.47033e-22   -1.05879e-22
3.9883  2.14583e-05   -0.00633651   0.00962487   0.000657673   -4.19651e-06   5.38032e-06   0   0   8.47033e-22   0
3.98791  2.146e-05   -0.00633807   0.00962644   0.000657673   -4.19745e-06   5.38126e-06   0   0   0   -1.05879e-22
3.98752  2.14616e-05   -0.00633963   0.009628   0.000657673   -4.19838e-06   5.38219e-06   0   0   0   -1.05879e-22
3.98713  2.14632e-05   -0.0063412   0.00962956   0.000657673   -4.19932e-06   5.38313e-06   0   0   0   -1.58819e-22
3.98674  2.14649e-05   -0.00634276   0.00963112   0.000657673   -4.20026e-06   5.38407e-06   0   -8.47033e-22   0   -5.29396e-23
3.98635  2.14665e-05   -0.00634432   0.00963268   0.000657673   -4.2012e-06   5.38501e-06   0   0   0   0
3.98596  2.14682e-05   -0.00634588   0.00963425   0.000657673   -4.20213e-06   5.38595e-06   0   -8.47033e-22   0   0
3.98557  2.14698e-05   -0.00634745   0.00963581   0.000657673   -4.20307e-06   5.38688e-06   0   0   8.47033e-22   -1.58819e-22
3.98518  2.14714e-05   -0.00634901   0.00963738   0.000657673   -4.20401e-06   5.38782e-06   0   0   8.47033e-22   -1.05879e-22
3.98479  2.14731e-05   -0.00635058   0.00963894   0.000657673   -4.20495e-06   5.38876e-06   0   0   0   -2.11758e-22
3.9844  2.14747e-05   -0.00635214   0.00964051   0.000657673   -4.20589e-06   5.3897e-06   0   0   0   -1.58819e-22
3.98401  2.14764e-05   -0.00635371   0.00964207   0.000657673   -4.20683e-06   5.39064e-06   0   0   0   -5.29396e-23
3.98362  2.1478e-05   -0.00635527   0.00964364   0.000657673   -4.20777e-06   5.39158e-06   0   0   0   -1.05879e-22
3.98323  2.14796e-05   -0.00635684   0.0096452   0.000657673   -4.20871e-06   5.39252e-06   0   0   0   -1.05879e-22
3.98284  2.14813e-05   -0.0063584   0.00964677   0.000657673   -4.20965e-06   5.39346e-06   0   -8.47033e-22   0   -1.05879e-22
3.98245  2.14829e-05   -0.00635997   0.00964834   0.000657673   -4.21059e-06   5.3944e-06   0   0   0   -1.05879e-22
3.98206  2.14846e-05   -0.00636154   0.00964991   0.000657673   -4.21153e-06   5.39534e-06   0   0   8.47033e-22   0
3.98167  2.14862e-05   -0.00636311   0.00965148   0.000657674   -4.21247e-06   5.39628e-06   0   0   8.47033e-22   -2.11758e-22
3.98128  2.14879e-05   -0.00636468   0.00965304   0.000657674   -4.21341e-06   5.39722e-06   0   0   0   5.29396e-23
